,TimeStamp,Relative Time,srcIP,dstIP,srcPort,dstPort,ipLen,MMS Type,MMS Service,Invoke Id,Domain Id,Item Id,Object Class,label
0,14.245087,0.868153,3232235787,3232235828,49623,102,78,0,1.0,720163.0,20.0,86.0,9.0,0
1,14.245088,0.881683,3232235828,3232235787,102,49623,564,1,1.0,720163.0,20.0,86.0,9.0,0
2,14.245297,2.976232,3232235788,3232235828,35091,102,78,0,1.0,137639.0,20.0,86.0,9.0,0
3,14.245299,2.989919,3232235828,3232235788,102,35091,564,1,1.0,137639.0,20.0,86.0,9.0,0
4,14.245426,4.259552,3232235787,3232235837,49621,102,78,0,1.0,720164.0,20.0,86.0,9.0,0
5,14.245426,4.262529,3232235837,3232235787,102,49621,141,1,1.0,720164.0,20.0,86.0,9.0,0
6,14.24548,4.800193,3232235787,3232235827,49622,102,78,0,1.0,720165.0,20.0,86.0,9.0,0
7,14.245481,4.813773,3232235827,3232235787,102,49622,556,1,1.0,720165.0,20.0,86.0,9.0,0
8,14.245589,5.891341,3232235787,3232235828,49623,102,78,0,1.0,720166.0,20.0,86.0,9.0,0
9,14.24559,5.904236,3232235828,3232235787,102,49623,564,1,1.0,720166.0,20.0,86.0,9.0,0
10,14.245927,9.277478,3232235787,3232235837,49621,102,78,0,1.0,720167.0,20.0,86.0,9.0,0
11,14.245928,9.280453,3232235837,3232235787,102,49621,141,1,1.0,720167.0,20.0,86.0,9.0,0
12,14.245957,9.576498,3232235788,3232235827,35347,102,78,0,1.0,137640.0,20.0,86.0,9.0,0
13,14.245959,9.590401,3232235827,3232235788,102,35347,556,1,1.0,137640.0,20.0,86.0,9.0,0
14,14.245982,9.822615,3232235787,3232235827,49622,102,78,0,1.0,720168.0,20.0,86.0,9.0,0
15,14.245983,9.836448,3232235827,3232235787,102,49622,556,1,1.0,720168.0,20.0,86.0,9.0,0
16,14.250092,10.919588,3232235787,3232235828,49623,102,78,0,1.0,720169.0,20.0,86.0,9.0,0
17,14.250093,10.933006,3232235828,3232235787,102,49623,564,1,1.0,720169.0,20.0,86.0,9.0,0
18,14.250301,13.011576,3232235788,3232235828,35091,102,78,0,1.0,137641.0,20.0,86.0,9.0,0
19,14.250302,13.025285,3232235828,3232235788,102,35091,564,1,1.0,137641.0,20.0,86.0,9.0,0
20,14.25043,14.304597,3232235787,3232235837,49621,102,78,0,1.0,720170.0,20.0,86.0,9.0,0
21,14.25043,14.307371,3232235837,3232235787,102,49621,141,1,1.0,720170.0,20.0,86.0,9.0,0
22,14.250485,14.84861,3232235787,3232235827,49622,102,78,0,1.0,720171.0,20.0,86.0,9.0,0
23,14.250486,14.860948,3232235827,3232235787,102,49622,556,1,1.0,720171.0,20.0,86.0,9.0,0
24,14.250594,15.938806,3232235787,3232235828,49623,102,78,0,1.0,720172.0,20.0,86.0,9.0,0
25,14.250595,15.952368,3232235828,3232235787,102,49623,564,1,1.0,720172.0,20.0,86.0,9.0,0
26,14.250932,19.322787,3232235787,3232235837,49621,102,78,0,1.0,720173.0,20.0,86.0,9.0,0
27,14.250932,19.32563,3232235837,3232235787,102,49621,141,1,1.0,720173.0,20.0,86.0,9.0,0
28,14.25096,19.607738,3232235788,3232235827,35347,102,78,0,1.0,137642.0,20.0,86.0,9.0,0
29,14.250962,19.621086,3232235827,3232235788,102,35347,556,1,1.0,137642.0,20.0,86.0,9.0,0
30,14.250987,19.868684,3232235787,3232235827,49622,102,78,0,1.0,720174.0,20.0,86.0,9.0,0
31,14.250988,19.881758,3232235827,3232235787,102,49622,556,1,1.0,720174.0,20.0,86.0,9.0,0
32,14.251096,20.962917,3232235787,3232235828,49623,102,78,0,1.0,720175.0,20.0,86.0,9.0,0
33,14.251097,20.976296,3232235828,3232235787,102,49623,564,1,1.0,720175.0,20.0,86.0,9.0,0
34,14.251304,23.041906,3232235788,3232235828,35091,102,78,0,1.0,137643.0,20.0,86.0,9.0,0
35,14.251305,23.055216,3232235828,3232235788,102,35091,564,1,1.0,137643.0,20.0,86.0,9.0,0
36,14.251435,24.349971,3232235787,3232235837,49621,102,78,0,1.0,720176.0,20.0,86.0,9.0,0
37,14.251435,24.352841,3232235837,3232235787,102,49621,141,1,1.0,720176.0,20.0,86.0,9.0,0
38,14.251489,24.893842,3232235787,3232235827,49622,102,78,0,1.0,720177.0,20.0,86.0,9.0,0
39,14.25149,24.907458,3232235827,3232235787,102,49622,556,1,1.0,720177.0,20.0,86.0,9.0,0
40,14.251598,25.985907,3232235787,3232235828,49623,102,78,0,1.0,720178.0,20.0,86.0,9.0,0
41,14.2516,26.000974,3232235828,3232235787,102,49623,564,1,1.0,720178.0,20.0,86.0,9.0,0
42,14.251937,29.375009,3232235787,3232235837,49621,102,78,0,1.0,720179.0,20.0,86.0,9.0,0
43,14.251937,29.377838,3232235837,3232235787,102,49621,141,1,1.0,720179.0,20.0,86.0,9.0,0
44,14.251962,29.622033,3232235788,3232235827,35347,102,78,0,1.0,137644.0,20.0,86.0,9.0,0
45,14.251963,29.636107,3232235827,3232235788,102,35347,556,1,1.0,137644.0,20.0,86.0,9.0,0
46,14.251992,29.920045,3232235787,3232235827,49622,102,78,0,1.0,720180.0,20.0,86.0,9.0,0
47,14.251993,29.933695,3232235827,3232235787,102,49622,556,1,1.0,720180.0,20.0,86.0,9.0,0
48,14.252101,31.011136,3232235787,3232235828,49623,102,78,0,1.0,720181.0,20.0,86.0,9.0,0
49,14.252102,31.024298,3232235828,3232235787,102,49623,564,1,1.0,720181.0,20.0,86.0,9.0,0
50,14.252305,33.053139,3232235788,3232235828,35091,102,78,0,1.0,137645.0,20.0,86.0,9.0,0
51,14.252306,33.067138,3232235828,3232235788,102,35091,564,1,1.0,137645.0,20.0,86.0,9.0,0
52,14.252439,34.397137,3232235787,3232235837,49621,102,78,0,1.0,720182.0,20.0,86.0,9.0,0
53,14.25244,34.399958,3232235837,3232235787,102,49621,141,1,1.0,720182.0,20.0,86.0,9.0,0
54,14.252494,34.943152,3232235787,3232235827,49622,102,78,0,1.0,720183.0,20.0,86.0,9.0,0
55,14.252495,34.956674,3232235827,3232235787,102,49622,556,1,1.0,720183.0,20.0,86.0,9.0,0
56,14.252603,36.034315,3232235787,3232235828,49623,102,78,0,1.0,720184.0,20.0,86.0,9.0,0
57,14.252605,36.048523,3232235828,3232235787,102,49623,564,1,1.0,720184.0,20.0,86.0,9.0,0
58,14.252941,39.41727,3232235787,3232235837,49621,102,78,0,1.0,720185.0,20.0,86.0,9.0,0
59,14.252942,39.420042,3232235837,3232235787,102,49621,141,1,1.0,720185.0,20.0,86.0,9.0,0
60,14.252965,39.654349,3232235788,3232235827,35347,102,78,0,1.0,137646.0,20.0,86.0,9.0,0
61,14.252967,39.669623,3232235827,3232235788,102,35347,556,1,1.0,137646.0,20.0,86.0,9.0,0
